"COLLETTE,PLANTE ET ASSOCIES","916431","NADEAU, MICHEL G","ABONNEMENT RÉGULIER AU SERVICE D'INFORMATIONS SUR LES TRANSACTIONS IMMOBILIÈRES PÉRIODE D'ABONNEMENT DU 1ER JANVIER AU 31 DÉCEMBRE 2014 - CARL BEAULIEU - FACTURE F-2669","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","10 228 $ "
"COMCOMTECH INC.","921201","COTE, RICHARD P.","TRADUCTION D'UN DOCUMENT D'INFORMATION SUR L'EAU DÉPOSÉ AU COMITÉ EXÉCUTIF.","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","3 695 $ "
"COMCOMTECH INC.","929730","MARLEAU, JACQUES","TRADUCTION DE DOCUMENTS - SERVICES PARTAGÉS FINANCIERS","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","18 041 $ "
"COMCOMTECH INC.","954868","MCSWEEN, BRIGITTE","SERVICES DE TRADUCTION PAR COMCOMTECH INC. POUR LE CABINET DU MAIRE EN DATE DU 15 AVRIL 2014 (3 FACTURES)","SERVICE DU GREFFE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 470 $ "
"COMCOMTECH INC.","972103","MCSWEEN, BRIGITTE","SERVICES DE TRADUCTION PAR COMCOMTECH INC. POUR LE COMITÉ EXÉCUTIF - 4 FACTURES (8 JUIN 2014)","SERVICE DU GREFFE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","2 943 $ "
"COMCOMTECH INC.","980035","MCSWEEN, BRIGITTE","SERVICES DE TRADUCTION PAR COMCOMTECH INC. POUR LE CABINET DU MAIRE EN DATE DU 27 JUILLET 2014 (6 FACTURES)","SERVICE DU GREFFE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 000 $ "
"COMEAU TECHNIQUE LTEE.","959506","BERTRAND, RICHARD","CONTENANT/200 PASTILLES,COLORANT,LOCALISER,DRAINS,VERT","SERVICE DE L'APPROVISIONNEMENT","ÉNERGIE ET PRODUIT CHIMIQUE","3 197 $ "
"COMITE DE LA COUR A LA SCENE","937841","LANGLOIS, PAUL","RÉALISATION DU PROJET DE MÉDIATION CULTURELLE INTITULÉ ÉCOLE CAS PUBLIC 2013-2014 OFFERT À L'ENSEMBLE DES ÉCOLES PRIMAIRES FRANCOPHONES DE L'ARRONDISSEMNT","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","9 000 $ "
"COMITE DE LA FETE NATIONALE DE LA SAINT-JEAN INC.","979060","BISSONNETTE, DANIEL","LOCATION DE CLÔTURES DE CHANTIER DE 6' (OMÉGA) LORS DE LA FÊTE NATIONALE DU QUÉBEC À MONTRÉAL","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS RÉCRÉATIVES","5 186 $ "
"COMITE DE REVITALISATION URBAINE INTEGREE DU QUARTIER SAINT-PIERRE","887288","ALLARD, PATRICE","SOUTIEN POUR LA RÉALISATION D'UNE ÉTUDE SUR L'AGRICULTURE URBAINE DANS LE QUARTIER SAINT-PIERRE","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","5 000 $ "
"COMITE MUSIQUE MAISONNEUVE INC","934797","LANGLOIS, PAUL","CONVENTION DE SERVICES PROFESSIONNELS - DOSSIER 2013-0256 - MÉMOIRE D'ICI ET D'AILLEURS","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","10 000 $ "
"COMMENSAL, S.E.C.","1047977","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 878 $ "
"COMMENSAL, S.E.C.","1048515","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 031 $ "
"COMMENSAL, S.E.C.","1049496","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 204 $ "
"COMMENSAL, S.E.C.","1049644","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 651 $ "
"COMMISSION DES LIQUEURS DU PLATEAU","RMI0000990770001016140006","DÉTAILS PROVIENNENT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","COMMISSION DES LIQUEURS DU PLATEAU\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001947, SUR LA LISTE DE PAIEMENT 1407IC010 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","5 678 $ "
"COMMISSION SCOLAIRE DE LAVAL","947595","LAPOINTE, JOSEE","ÉVALUATION ÉLAGAGE # DE PROJET: 522-4404-01","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","2 105 $ "
"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","953087","ROUILLARD, JOHANNE","REMBOURSEMENT POUR TRAVAUX SUR GÉNÉRATRICES DANS 2 BÂTIMENTS, SOIT : CENTRE ST-MATHIEU (8482 ET CENTRE ST-MARTHYRS-CANADIENS (8324)","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","14 522 $ "
"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","975648","BOUDREAULT, DANNY","FORMATION PRÉPARATION À LA RETRAITE POUR LES EMPLOYÉS DU MESS","SERVICE DES AFFAIRES JURIDIQUES","SÉCURITÉ DU REVENU","2 348 $ "
"COMMISSION SCOLAIRE MARGUERITE-BOURGEOYS","959262","MASSE, PAUL","DÉVELOPPER, FAIRE PASSER ET CORRGIER UNE ÉVALUATION EN ÉLECTRICITÉ DE BASE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 074 $ "
"COMMISSION SPORTIVE MONTREAL CONCORDIA","886875","TRAVERS, REAL","COMMANDITE SOIRÉE DES LAURÉATS  - 1ER NOVEMBRE 2013","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","2 800 $ "
"COMMUNICATIONS INFRAROUGE INC.","951709","SAVARD, JOHANNE","COMMUNICATIONS INFRAROUGE - ASSURER LA VISIBILITE GENERALE DE L'OMBUDSMAN. 2014.","OMBUDSMAN DE MONTRÉAL","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","13 530 $ "
"COMMUNICATIONS THIBEAULT LTEE","919883","KERR, NATASHA","CARTE MAGNÉTIQUE - TOURNIQUET","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","7 920 $ "
"COMMUNICATIONS THIBEAULT LTEE","945186","KERR, NATASHA","IMPRIMANTE À CARTE - FARGO","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 435 $ "
"COMMUNICATIONS THIBEAULT LTEE","976673","KERR, NATASHA","LOGICIEL CENTAUR","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 295 $ "
"COMMUNICATIONS TREMBLAY-MENARD INC.","964759","LÊ, SON-THU","ACHAT ÉTIQUETTES - IDENTIFICATION CÂBLES AUX INTERSECTIONS","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","12 964 $ "
"COMMUNICATIONS VOIR INC.","702834941","LAPOINTE, JULIE","REF #870, BANNIÈRES WEB JARDINS DE LUMIÈRES","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 300 $ "
"COMMUNICATIONS VOIR INC.","941351","BECHARD, FRANCOIS","FORFAIT BLOGUE ANNUEL SUR VOIR.CA, CAMPAGNE CORPORATIVE ESPACE POUR LA VIE (RÉSERVATION MT266736)","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","10 000 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","951569","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11060942 ET 11060944 POUR TRAVAUX URGENTS - ACCIDENTS","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","5 752 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","951596","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11062761POUR LE MOIS DE FÉVRIER 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","951597","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11063621 POUR LE MOIS DE MARS 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","957921","LEVESQUE, LUC","POUR PAYER FACTURE 11064334 POUR LE MOIS D'AVRIL 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","970280","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11065158 POUR LE MOIS DE MAI 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","977837","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11065930 POUR LE MOIS DE JUIN 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","980846","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11066893 POUR LE MOIS DE JUILLET 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 156 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","888572","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11055856 POUR LE MOIS D'AOÛT 2013 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 566 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","899672","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11058613 POUR LE MOIS DE SEPTEMBRE 2013 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 566 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","907217","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11059484 POUR LE MOIS D'OCTOBRE 2013 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 566 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","916870","BROUSSEAU, DANIEL","POUR PAYER FACTURE 11060254 POUR LE MOIS DE NOVEMBRE 2013 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 566 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","916872","BROUSSEAU, DANIEL","POUR PAYER FACTURE POUR LE MOIS DE DÉCEMBRE 2013 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 566 $ "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE","935545","PELLERIN, JEAN","POUR PAYER FACTURE 11062022 POUR LE MOIS DE JANVIER 2014 POUR FRAIS D'ENTRETIEN DE FEUX CLIGNOTANTS ET DE BARRIERES","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 420 $ "
"COMPILATION DE BASE DE DONNEES TRAFFIC INC.","954860","LÊ, SON-THU","OFFRE DE SERVICE POUR ENVIRON 40 COMPTAGES NAUMELS ET INSTALLATION DE CAMÉRA MIDVISION","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","22 502 $ "
"COMPILATION DE BASE DE DONNEES TRAFFIC INC.","958335","PELLERIN, GUY","COMPTAGES EFFECTUÉS DANS L'ARRONDISSEMENT CÔTE-SAINT-LUC","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","2 255 $ "
"COMPILATION DE BASE DE DONNEES TRAFFIC INC.","908684","LÊ, SON-THU","OFFRE DE SERVICE M2013-42 - M2013-119 - M2013-120 - M2013-121 - M2013-43","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 900 $ "
"COMPILATION DE BASE DE DONNEES TRAFFIC INC.","946953","PELLERIN, GUY","FACTURE 1512 - PROJET 2013-037-038-039-040 ET 041 - COMPTAGE","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 666 $ "
"COMPILATION DE BASE DE DONNEES TRAFFIC INC.","948217","PELLERIN, GUY","COMPTAGES EFFECTUÉS DANS DIFFÉRENTS ARRONDISSEMENTS","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","12 385 $ "
"COMPRESSEURS GAGNON INC","978997","LEVESQUE, PIERRE","NOTRE BON DE TRAVAIL #01-215381 - ATELIERS MUNICIPAUX VIAU (0246) - 2269, RUE VIAU - TRAVAUX D'INSONORISATION ET ATTÉNUATION DES VIBRATIONS POUR LES DEUX (2) COMPRESSEURS D'AIR - 1 SOUMISSION","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","2 460 $ "
"COMPTABLES PROFESSIONNELS AGREES DU CANADA","926854","VAILLANCOURT, SERGE","BON DE COMMANDE OUVERT - MANUEL DE CAP BVG","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 000 $ "
"COMPTEURS D'EAU DU QUEBEC","927901","SEGUIN, MICHEL","COMMANDE EMETTEUR XTR MASTER MEATER","SERVICE DE L'EAU","RÉSEAU DE DISTRIBUTION DE L'EAU POTABLE","24 596 $ "
"COMPTEURS D'EAU DU QUEBEC","972252","SEGUIN, MICHEL","EFFECTUER LA RELÈVE MANUELLE DES COMPTEURS D'EAU DANS LES ARRONDISSEMENTS ANJOU ET SAINT-LAURENT","SERVICE DE L'EAU","RÉSEAU DE DISTRIBUTION DE L'EAU POTABLE","13 845 $ "
"COMPTEURS D'EAU DU QUEBEC","974165","PIROG, MACIEJ","ACHAT DE REMPLACEMENT D'UN ÉQUIPEMENT DE LECTURE DES COMPTEURS D'EAU À DISTANCE.","SERVICE DE L'EAU","RÉSEAU DE DISTRIBUTION DE L'EAU POTABLE","3 558 $ "
"COMPU-FINDER","976983","COURCHESNE, YVES","FORMATION D'EMPLOYÉ EXEMPLAIRE À CHEF D'ÉQUIPE","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 085 $ "
"COMPUGEN INC.","953611","GALLANT, DENIS","ACHAT ET INSTALLATION DE LOGICIEL","BUREAU DE L'INSPECTEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","9 180 $ "
"COMPUGEN INC.","953813","GALLANT, DENIS","ACHATS D'ÉQUIPEMENTS INFORMATIQUES","BUREAU DE L'INSPECTEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","16 556 $ "
"COMPUGEN INC.","975337","DESNOYERS, ERIC-CHRISTOPHER","PC ET ÉCRANS POUR LE BUREAU DE L'INSPECTEUR GÉNÉRAL","BUREAU DE L'INSPECTEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","7 160 $ "
"COMPUGEN INC.","898218","VAILLANCOURT, SERGE","ACHAT IMPRIMANTES - BUREAU BVG","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 007 $ "
"COMPUGEN INC.","899269","VAILLANCOURT, SERGE","PORTABLE - JULIE DÉSILET BVG","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 046 $ "
"COMPUGEN INC.","897226","LUU, VINH","RENOUVELLEMENT LICENCES VMWARE","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","4 244 $ "
"COMPUGEN INC.","947041","LUU, VINH","ORDINATEURS - VOTRE SOUM#2563544 SQ","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","3 153 $ "
"COMPUGEN INC.","969487","LAPOINTE, NORMAND","COMPUGEN INC. - ACHAT DE LICENCES D'UTILISATION POUR LES LOGICIELS ACROBAT PRO, ANTIDOTE HD, VISIO STANDARD ET MICROSOFT OFFICE STANDARD 2013, POUR LE SERVICE DE LA PERFORMANCE ORGANISATIONNELLE.","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","7 379 $ "
"COMPUGEN INC.","886460","SAVAGE, CLAUDE","LICENCE ADOBE ILLUSTRATOR CS6 ET LICENCE MICROSOFT OFFICE ( PIERRE LABELLE )","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","6 176 $ "
"COMPUGEN INC.","889798","LEFEBVRE, ROBERT","A BRADETTE DELL POWERVAULT NX300","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 619 $ "
"COMPUGEN INC.","900491","MASSE, PAUL","CS6 ADOBE DESIGN STANDARD 6 ( PIERRE LABELLE )","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 367 $ "
"COMPUGEN INC.","905201","MARCOTTE, ANNE-MARIE","COMMANDE D'ÉQUIPEMENTS INFORMATIQUES","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 153 $ "
"COMPUGEN INC.","910171","MARCOTTE, ANNE-MARIE","ACHATS D'ORDINATEUR, PORTABLES ET DE RÉPLICATEUR DE PORTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","13 776 $ "
"COMPUGEN INC.","914339","MARCOTTE, ANNE-MARIE","ACHAT D'ORDINATEUR AVEC CARTE WI-FI INTÉGRÉ ET D'ÉCRANS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","23 802 $ "
"COMPUGEN INC.","920411","NADEAU, MICHEL G","ACHAT D'ORDINATEUR DE TABLE, DE MONITEURS D'ORDINATEURS PORTATIFS ET DE LEURS ACCESSOIRES","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","AUTRES - ADMINISTRATION GÉNÉRALE","2 313 $ "
"COMPUGEN INC.","913481 & 913103","NADEAU, MICHEL G","LA DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES (DSTI) AINSI QUE LA DIRECTION DES IMMEUBLES (DI) DOIVENT REMPLACER UNE PARTIE DE LEUR PARC D'ÉQUIPEMENTS BUREAUTIQUES NORMALISÉS AYANT ATTEINT ET MÊME DÉPASSÉ LEUR VIE UTILE. LA DSTI DOIT ÉGALEMENT PROCÉDER À L'ACQUISITION D'IMPRIMANTES MULTI FONCTION DANS LE CADRE DE SON ÉAMÉNAGEMENT DE SES LOCAUX ADMINISTRATIFS. ACHAT ÉQUIPEMENT INFORMATIQUE ENTENTE CADRE 888370 (SOMMAIRE 1130115001)","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","AUTRES - ADMINISTRATION GÉNÉRALE","61 395 $ "
"COMPUGEN INC.","959359","NADEAU, MICHEL G","ACQUISITION DE LOGICIELS INFORMATIQUES.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","9 511 $ "
"COMPUGEN INC.","959350","NADEAU, MICHEL G","ACQUISITION DE LOGICIELS INFORMATIQUES.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","12 827 $ "
"COMPUGEN INC.","965736","NADEAU, MICHEL G","ÉQUIPEMENT INFORMATIQUE POUR LE SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE (SGPI).","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","7 214 $ "
"COMPUGEN INC.","965780","NADEAU, MICHEL G","ÉQUIPEMENT INFORMATIQUE POUR LA DIRECTION DES IMMEUBLES.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","6 708 $ "
"COMPUGEN INC.","952159","DUCAS, SYLVAIN","ACQUISITION DE 2 LICENSES D'ADOBE CREATIVE SUITE CS6. UNE LICENCE POUR STÉPHANE LABELLE ET L'AUTRE POUR UN NOUVEAU POSTE COMMUN. VOIR LA SOUMISSION EN DATE DU 3 AVRIL.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AMÉN., URB. ET DÉVEL. - DIR.ADM. ET SOUTIEN - À RÉPARTIR","2 904 $ "
"COMPUGEN INC.","964100","DUCAS, SYLVAIN","ACHAT DU LOGICIEL CS6 DESIGN STANDARD-LICENSE-FRANÇAIS-WIN 1 UTILISATEUR.VOIR SOUMISSION EN DATE DU 12 MAI 2014.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AMÉN., URB. ET DÉVEL. - DIR.ADM. ET SOUTIEN - À RÉPARTIR","2 889 $ "
"COMPUGEN INC.","889497","JODOIN, LUC","LOGICIEL: ADOBE ACROBAT XI PRO-(V.11)-LICENSE - 1 UTILISATEUR - WIN-FRANÇAIS","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","2 034 $ "
"COMPUGEN INC.","894449","KERR, NATASHA","RÉAMÉNAGEMENT DE L'ENCAISSEMENT","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 923 $ "
"COMPUGEN INC.","895881","MASSICOTTE, MARIE CLAUDE","ACHAT DE MATÉRIEL INFORMATIQUE POUR L'ÉQUIPE DE MARIE-CLAUDE MASSICOTTE","SERVICE DE LA QUALITÉ DE VIE","PLANIFICATION ET GESTION DES PARCS ET ESPACES VERTS","2 202 $ "
"COMPUGEN INC.","896842","JODOIN, LUC","ACHAT D'ORDINATEURS","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","6 074 $ "
"COMPUGEN INC.","903886","LUSSIER, DANIELLE","ACHATS DE LICENCES OFFICE 2013 ET ACROBAT V.11 POUR L'ÉQUIPE DE LA DIVISION DU DÉVELOPPEMENT DURABLE.","SERVICE DE LA QUALITÉ DE VIE","PROTECTION DE L'ENVIRONNEMENT","7 482 $ "
"COMPUGEN INC.","905916","CICIOLI, MARIO","ACHAT DE 50 LICENCES ADOBE ACROBAT XI STANDARD","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - DIR. ET ADM. - À RÉPARTIR","10 919 $ "
"COMPUGEN INC.","905916","CICIOLI, MARIO","ACHAT DE 50 LICENCES ADOBE ACROBAT XI STANDARD","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - DIR. ET ADM. - À RÉPARTIR","13 237 $ "
"COMPUGEN INC.","3424132","PATENAUDE, NICOLE","BC 204371 - ORDINATEUR PORTABLE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 475 $ "
"COMPUGEN INC.","957038","MARCOTTE, ANNE-MARIE","ACHAT DE PORTABLE","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 433 $ "
"COMPUGEN INC.","955784","CHAURET, DANIELLE","BCR-APP / LICENCES ILLUSTRATOR ET ADOBE PHOTOSHOP CS6","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 365 $ "
